"","shopID","catchmentID"
"1","AS001",1
"2","AS002",1
"3","AS003",3
"4","AS004",3
"5","AS005",3
"6","AS006",1
"7","AS007",7
"8","AS008",7
"9","AS009",7
"10","AS010",10
"11","AS011",10
"12","AS012",10
"13","AS013",13
"14","AS014",14
"15","AS015",14
"16","AS016",16
"17","AS017",7
"18","AS018",10
"19","AS019",12
"20","AS020",12
"21","AS021",4
"22","AS022",21
"23","AS023",21
"24","AS024",21
"25","AS025",12
"27","AS027",26
"28","AS028",26
"29","AS029",26
"30","AS030",26
"31","AS031",26
"33","AS033",31
"34","AS034",31
"35","AS035",26
"36","AS036",16
"37","AS037",16
"46","AS046",36
"47","AS047",36
"48","AS048",36
"49","AS049",36
"50","AS050",36
"51","AS051",41
"52","AS052",41
"53","AS053",43
"54","AS054",43
"55","AS055",43
"56","AS056",43
"57","AS057",47
"58","AS058",48
"59","AS059",48
"60","AS060",48
"61","AS061",51
"62","AS062",48
"63","AS063",48
"64","AS064",54
"65","AS065",55
"66","AS066",12
"67","AS067",57
"68","AS068",57
"69","AS069",57
"70","AS070",60
"71","AS071",60
"72","AS072",62
"73","AS073",63
"74","AS074",62
"75","AS075",62
"76","AS076",62
"77","AS077",62
"78","AS078",60
